"num_nodes,num_edges"
"100,1000"
"1,0"
"2,0"
"3,0"
"4,3"
"5,3"
"6,2"
"7,2"
"8,2"
"9,8"
"10,7"
"11,0"
"12,7"
"13,2"
"14,2"
"15,9"
"16,15"
"17,3"
"18,0"
"19,4"
"20,16"
"21,4"
"22,5"
"23,10"
"24,3"
"25,5"
"26,22"
"27,7"
"28,27"
"29,22"
"30,18"
"31,21"
"32,14"
"33,28"
"34,3"
"35,17"
"36,21"
"37,0"
"38,20"
"39,10"
"40,33"
"41,21"
"42,22"
"43,38"
"44,25"
"45,25"
"46,20"
"47,19"
"48,10"
"49,22"
"50,38"
"51,35"
"52,31"
"53,17"
"54,28"
"55,5"
"56,51"
"57,56"
"58,46"
"59,54"
"60,30"
"61,16"
"62,10"
"63,62"
"64,21"
"65,36"
"66,61"
"67,35"
"68,10"
"69,12"
"70,48"
"71,55"
"72,59"
"73,60"
"74,29"
"75,63"
"76,28"
"77,13"
"78,57"
"79,53"
"80,69"
"81,53"
"82,28"
"83,31"
"84,46"
"85,27"
"86,67"
"87,48"
"88,10"
"89,39"
"90,7"
"91,68"
"92,27"
"93,12"
"94,54"
"95,1"
"96,95"
"97,3"
"98,94"
"99,71"
"54,76"
"85,73"
"26,32"
"89,54"
"62,27"
"54,45"
"31,20"
"54,64"
"0,64"
"48,81"
"14,62"
"78,28"
"59,47"
"84,37"
"14,68"
"69,88"
"19,3"
"3,23"
"6,65"
"59,16"
"26,28"
"41,47"
"18,40"
"13,26"
"58,58"
"78,2"
"36,34"
"31,88"
"45,12"
"85,23"
"86,87"
"74,17"
"17,87"
"9,19"
"9,73"
"47,12"
"3,95"
"56,23"
"34,52"
"25,88"
"71,21"
"24,68"
"72,56"
"51,17"
"61,12"
"14,30"
"33,64"
"51,90"
"7,99"
"39,49"
"78,54"
"23,96"
"97,97"
"32,97"
"16,2"
"83,63"
"5,42"
"59,71"
"51,21"
"16,18"
"41,55"
"87,28"
"84,28"
"45,63"
"13,36"
"66,86"
"30,98"
"27,94"
"35,87"
"38,7"
"94,22"
"57,10"
"58,54"
"92,17"
"91,40"
"9,11"
"16,83"
"13,31"
"28,17"
"78,0"
"41,72"
"96,74"
"63,2"
"52,50"
"18,85"
"81,68"
"33,67"
"7,73"
"56,86"
"65,59"
"11,5"
"19,58"
"25,39"
"33,34"
"26,86"
"55,55"
"39,64"
"1,30"
"34,55"
"83,15"
"74,60"
"86,96"
"57,2"
"43,1"
"84,32"
"34,30"
"47,56"
"57,6"
"40,62"
"47,63"
"43,17"
"22,85"
"11,81"
"86,34"
"72,38"
"57,3"
"2,35"
"75,9"
"95,48"
"15,22"
"34,67"
"16,72"
"87,20"
"11,15"
"22,34"
"67,36"
"81,0"
"88,10"
"67,61"
"61,13"
"91,68"
"4,30"
"28,59"
"28,71"
"58,35"
"50,38"
"82,8"
"67,25"
"69,13"
"31,58"
"24,19"
"91,45"
"27,46"
"43,0"
"75,33"
"24,23"
"56,61"
"94,22"
"42,74"
"40,12"
"28,69"
"1,57"
"10,57"
"15,1"
"77,44"
"54,44"
"70,3"
"58,28"
"43,44"
"33,80"
"54,29"
"58,14"
"78,16"
"38,59"
"61,62"
"40,93"
"83,55"
"58,9"
"95,36"
"88,10"
"82,21"
"86,87"
"62,52"
"83,94"
"64,32"
"75,7"
"45,76"
"13,17"
"46,63"
"29,98"
"76,56"
"35,53"
"63,15"
"76,93"
"12,84"
"89,33"
"3,39"
"68,51"
"53,99"
"34,90"
"82,39"
"46,66"
"61,25"
"95,68"
"56,87"
"95,12"
"98,6"
"50,85"
"0,10"
"91,77"
"4,63"
"90,27"
"44,29"
"21,54"
"96,8"
"31,4"
"20,44"
"52,33"
"67,40"
"88,64"
"10,35"
"61,28"
"64,53"
"7,89"
"13,18"
"78,44"
"44,34"
"34,81"
"15,4"
"46,23"
"66,45"
"52,20"
"43,97"
"2,12"
"97,52"
"30,94"
"26,87"
"58,32"
"10,60"
"90,95"
"7,19"
"79,9"
"97,82"
"62,22"
"87,99"
"5,73"
"52,6"
"70,75"
"51,15"
"82,2"
"57,69"
"91,43"
"34,15"
"32,75"
"20,36"
"52,42"
"62,93"
"50,96"
"4,83"
"58,46"
"79,64"
"86,0"
"74,12"
"13,0"
"1,5"
"34,14"
"32,28"
"14,53"
"58,22"
"30,93"
"91,13"
"56,88"
"49,43"
"54,0"
"69,89"
"24,47"
"2,37"
"28,17"
"79,70"
"43,84"
"61,66"
"42,68"
"28,17"
"5,37"
"80,79"
"93,12"
"13,2"
"18,34"
"32,21"
"56,56"
"83,37"
"95,6"
"18,63"
"6,93"
"17,39"
"81,60"
"32,91"
"14,47"
"98,23"
"43,85"
"75,59"
"83,2"
"34,58"
"38,85"
"66,55"
"60,2"
"47,13"
"98,60"
"70,7"
"14,2"
"20,74"
"98,65"
"8,45"
"72,42"
"5,13"
"6,20"
"8,23"
"60,41"
"11,28"
"43,84"
"26,40"
"45,52"
"57,93"
"76,13"
"36,5"
"4,40"
"37,84"
"21,68"
"92,73"
"89,33"
"39,95"
"7,63"
"51,88"
"76,40"
"88,96"
"28,93"
"27,43"
"79,82"
"36,71"
"73,58"
"68,8"
"34,76"
"45,58"
"50,73"
"95,54"
"50,84"
"45,88"
"78,34"
"80,8"
"2,79"
"15,74"
"29,80"
"82,66"
"8,50"
"12,5"
"65,95"
"81,90"
"1,61"
"0,19"
"3,98"
"18,69"
"0,26"
"39,39"
"62,1"
"48,24"
"2,52"
"39,55"
"84,60"
"32,36"
"65,41"
"62,76"
"94,69"
"31,0"
"31,75"
"47,5"
"52,58"
"30,79"
"18,60"
"4,91"
"61,72"
"31,70"
"91,7"
"18,19"
"41,26"
"9,69"
"25,96"
"64,11"
"41,91"
"72,36"
"38,74"
"74,31"
"28,0"
"10,24"
"76,23"
"8,97"
"94,62"
"9,46"
"11,14"
"95,42"
"2,95"
"5,23"
"52,40"
"11,9"
"94,6"
"78,79"
"39,77"
"3,9"
"28,50"
"66,15"
"79,78"
"2,68"
"53,21"
"65,50"
"75,38"
"35,77"
"97,16"
"47,34"
"21,37"
"84,42"
"36,19"
"56,28"
"81,44"
"45,56"
"37,27"
"79,85"
"51,48"
"97,12"
"69,68"
"76,58"
"8,77"
"58,98"
"68,64"
"49,83"
"90,92"
"67,78"
"60,61"
"16,80"
"87,24"
"88,94"
"7,79"
"23,78"
"72,64"
"17,17"
"7,1"
"20,0"
"75,50"
"20,47"
"60,32"
"69,30"
"82,15"
"26,71"
"9,52"
"60,3"
"68,39"
"41,20"
"52,65"
"29,99"
"12,19"
"31,67"
"42,93"
"20,40"
"24,29"
"22,93"
"50,75"
"5,74"
"31,45"
"83,43"
"91,47"
"27,86"
"42,0"
"4,34"
"36,35"
"60,39"
"75,82"
"31,84"
"66,43"
"49,95"
"96,78"
"11,28"
"76,95"
"42,33"
"57,45"
"63,71"
"60,88"
"62,78"
"6,49"
"67,3"
"13,65"
"44,75"
"46,71"
"19,88"
"32,77"
"56,66"
"41,15"
"68,20"
"37,42"
"17,76"
"19,18"
"23,68"
"0,89"
"14,34"
"54,90"
"4,83"
"32,9"
"98,87"
"96,32"
"83,33"
"41,80"
"56,96"
"82,90"
"71,11"
"64,10"
"91,50"
"58,31"
"50,68"
"85,97"
"42,81"
"50,77"
"47,3"
"5,13"
"77,44"
"9,9"
"95,55"
"20,92"
"62,24"
"12,80"
"33,32"
"78,66"
"9,24"
"35,42"
"50,47"
"99,32"
"70,85"
"23,2"
"48,33"
"75,5"
"86,14"
"65,61"
"68,79"
"55,20"
"88,8"
"5,87"
"54,55"
"30,31"
"48,55"
"81,74"
"51,91"
"60,79"
"1,67"
"9,76"
"15,17"
"28,49"
"7,62"
"22,38"
"61,60"
"97,73"
"17,31"
"37,2"
"18,84"
"22,55"
"68,50"
"81,6"
"49,43"
"88,31"
"15,77"
"88,98"
"93,89"
"66,7"
"57,83"
"18,19"
"68,55"
"69,69"
"54,96"
"28,1"
"91,12"
"52,74"
"44,12"
"11,87"
"32,97"
"92,93"
"69,85"
"3,97"
"57,22"
"88,38"
"88,61"
"28,80"
"11,11"
"82,19"
"39,95"
"12,29"
"77,17"
"72,7"
"58,25"
"38,57"
"91,50"
"99,22"
"48,66"
"62,16"
"62,39"
"67,24"
"48,80"
"69,55"
"51,95"
"13,2"
"75,82"
"88,34"
"56,82"
"40,55"
"39,1"
"33,52"
"49,22"
"49,72"
"28,52"
"23,52"
"62,3"
"26,13"
"14,72"
"88,86"
"39,24"
"60,8"
"86,13"
"77,95"
"76,92"
"79,56"
"2,26"
"12,85"
"22,27"
"28,19"
"64,5"
"43,23"
"65,46"
"73,71"
"61,87"
"81,53"
"26,52"
"67,17"
"18,32"
"86,59"
"12,89"
"80,18"
"58,25"
"81,60"
"72,79"
"92,62"
"91,19"
"97,1"
"16,54"
"40,22"
"21,17"
"92,12"
"87,83"
"99,5"
"41,72"
"25,37"
"11,42"
"44,21"
"48,1"
"0,31"
"30,57"
"50,65"
"88,95"
"70,67"
"56,53"
"43,8"
"4,12"
"72,63"
"34,60"
"21,13"
"20,95"
"84,15"
"67,37"
"61,18"
"38,4"
"4,40"
"22,74"
"11,66"
"99,54"
"7,50"
"24,57"
"31,19"
"27,43"
"50,14"
"73,81"
"27,86"
"3,55"
"99,89"
"27,57"
"78,57"
"59,56"
"50,17"
"82,81"
"83,41"
"47,1"
"87,41"
"97,96"
"84,89"
"10,72"
"64,52"
"25,74"
"43,99"
"23,14"
"37,31"
"63,76"
"97,88"
"20,71"
"36,28"
"80,66"
"86,45"
"38,13"
"33,76"
"25,94"
"49,89"
"14,63"
"1,3"
"42,26"
"77,95"
"44,0"
"17,54"
"56,2"
"11,83"
"83,38"
"25,31"
"23,63"
"58,38"
"54,33"
"75,96"
"99,57"
"64,22"
"40,96"
"33,63"
"45,0"
"84,52"
"20,19"
"27,82"
"1,8"
"65,47"
"44,71"
"34,52"
"29,51"
"37,11"
"87,20"
"63,19"
"30,94"
"63,95"
"41,58"
"14,73"
"18,93"
"24,86"
"83,15"
"42,44"
"33,54"
"59,3"
"79,25"
"58,94"
"46,69"
"50,66"
"73,62"
"55,84"
"30,99"
"42,18"
"66,52"
"95,54"
"53,2"
"24,37"
"47,80"
"2,33"
"51,1"
"92,87"
"39,74"
"70,18"
"87,29"
"55,42"
"50,95"
"77,69"
"46,1"
"46,94"
"97,35"
"75,56"
"45,66"
"2,5"
"28,48"
"39,10"
"6,10"
"40,47"
"7,35"
"67,27"
"6,72"
"60,69"
"0,55"
"49,64"
"62,36"
"11,47"
"81,11"
"80,77"
"48,23"
"56,78"
"0,87"
"68,2"
"37,15"
"57,94"
"7,42"
"67,98"
"39,36"
"52,22"
"19,60"
"17,78"
"95,17"
"54,23"
"59,46"
"31,46"
"57,23"
"54,7"
"30,47"
"82,62"
"49,79"
"69,70"
"16,61"
"27,58"
"66,31"
"22,45"
"50,49"
"0,87"
"21,47"
"61,95"
"7,20"
"38,42"
"29,83"
"87,91"
"97,70"
"57,54"
"27,64"
"66,81"
"33,23"
"13,80"
"26,26"
"95,34"
"45,1"
"40,56"
"41,16"
"6,96"
"60,23"
"80,72"
"48,59"
"41,42"
"21,24"
"31,16"
"44,4"
"6,74"
"76,7"
"18,32"
"19,7"
"84,16"
"94,53"
"97,34"
"50,41"
"61,35"
"90,97"
"48,47"
"26,58"
"68,73"
"32,82"
"77,5"
"62,13"
"95,22"
"2,40"
"19,46"
"64,90"
"49,19"
"21,72"
"30,81"
"86,49"
"46,69"
"47,18"
"28,97"
"46,35"
"16,73"
"87,30"
"12,63"
"33,33"
"79,70"
"46,52"
"56,78"
"64,20"
"12,32"
"15,9"
"75,22"
"98,94"
"50,87"
"65,87"
"17,22"
"24,40"
"76,38"
"84,37"
"8,3"
"80,21"
"36,29"
"56,99"
"48,61"
"59,22"
"5,9"
"31,56"
"50,7"
"43,2"
"36,65"
"86,36"
"86,11"
"1,20"
"21,28"
"99,17"
"95,42"
"52,70"
